DATE,LIQUID_VOLUME_sim,CUM_WATER_INJECTED_sim,LIQUID_VOLUME,PRIMARY_SUPPORT,PRESSURE_DEPLETION,ACTIVITY,WATER_VOLUME,OIL_VOLUME,INJECTION_SUPPORT,NAME,TRAIN,ID,SUBZONE
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,0,ALLWARA
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,1,ALLWARA
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,2,ALLWARA
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,3,ALLWARA
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,4,ALLWARA
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,5,ALLWARA
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,6,ALLWARA
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,7,ALLWARA
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,8,ALLWARA
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,9,ALLWARA
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,10,ALLWARA
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,11,ALLWARA
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,12,ALLWARA
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,13,ALLWARA
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,14,ALLWARA
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,15,ALLWARA
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,16,ALLWARA
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,17,ALLWARA
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,18,ALLWARA
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,19,ALLWARA
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,20,ALLWARA
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,21,ALLWARA
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MG-0008_P,True,22,ALLWARA
