DATE,LIQUID_VOLUME_sim,CUM_WATER_INJECTED_sim,LIQUID_VOLUME,PRIMARY_SUPPORT,PRESSURE_DEPLETION,ACTIVITY,WATER_VOLUME,OIL_VOLUME,INJECTION_SUPPORT,PRODUCER,TRAIN,ID,SUBZONE
01/01/2026,0.020309404,0.195432787,836.65,0,0,1,0,836.65,836.65,MG-0008_P,TRUE,55,ALLWARA
01/01/2026,0.043677681,2.432521609,276.85,6.12E-48,0,1,100.97,175.88,276.85,MG-0058_P,TRUE,55,ALLWARA
01/01/2026,0,0.856910292,0,0,0,0,0,0,0,MG-0068_P,TRUE,55,ALLWARA
01/01/2026,1633.795007,24364.92264,1967.45,829.7849853,0,1,1226.94,740.51,1137.665015,MG-0109_P,TRUE,55,ALLWARA
01/01/2026,1454.237756,53175.72076,1706.82,1.82E-15,0,1,718.56,988.26,1706.82,MG-0278_P,TRUE,55,ALLWARA
01/01/2026,1024.123621,8326.624861,1410.51,496.4686406,0,1,283.8,1126.71,914.0413594,MG-0338_P,TRUE,55,ALLWARA
01/01/2026,0,1.49273711,0,0,0,0,0,0,0,MG-0525_P,TRUE,55,ALLWARA
01/01/2026,235.356254,3502.014764,826,0,0,1,299.56,526.44,826,MG-0527_P,TRUE,55,ALLWARA
01/01/2026,964.5215612,67397.63831,1751.17,0,0,1,1.5,1749.67,1751.17,MG-0553_P,TRUE,55,ALLWARA
01/01/2026,1557.738811,26154.71018,1623.11,0,0,1,15.09,1608.02,1623.11,MG-0567_P,TRUE,55,ALLWARA
01/01/2026,808.6089891,5613.145956,679.47,0,0,1,220.41,459.06,679.47,MG-0579_P,TRUE,55,ALLWARA
01/01/2026,5027.186251,48123.96319,3966.39,0,0,1,336.61,3629.78,3966.39,MG-0581_P,TRUE,55,ALLWARA
01/01/2026,591.0627413,3147.283354,535.05,0,0,1,2.74,532.31,535.05,MG-0583_P,TRUE,55,ALLWARA
