DATE,NAME,LIQUID_VOLUME,SECTOR,ZONE,SUBZONE,WELL_TYPE,GAS_VOLUME,WATER_VOLUME,OIL_VOLUME,PRESSURE
02/12/2015,P1,0.0,1,WARA,WARA1,Producer,0.0,0.0,0.0,0
02/01/2016,P1,910.8035278,1,WARA,WARA1,Producer,240.4521332,1.11e-06,910.8035278,250
02/02/2016,P1,995.3125,1,WARA,WARA1,Producer,262.7624817,8.77e-05,995.3123779,250
02/03/2016,P1,1447.382568,1,WARA,WARA1,Producer,382.1086731,0.001326463,1447.381348,250
02/04/2016,P1,1575.792725,1,WARA,WARA1,Producer,415.9925842,0.063223109,1575.729492,250
02/05/2016,P1,997.1760254,1,WARA,WARA1,Producer,263.2364807,0.068213485,997.1078491,250
02/06/2016,P1,1151.493896,1,WARA,WARA1,Producer,303.9525146,0.158595324,1151.335327,250
02/07/2016,P1,1096.605591,1,WARA,WARA1,Producer,289.4233398,0.304973871,1096.300537,250
02/08/2016,P1,1215.235596,1,WARA,WARA1,Producer,320.5785522,0.922870278,1214.312622,250
02/09/2016,P1,1216.561035,1,WARA,WARA1,Producer,320.69104,1.822313428,1214.73877,250
02/10/2016,P1,1140.7677,1,WARA,WARA1,Producer,300.483551,2.572422743,1138.19519,250
02/11/2016,P1,1253.034058,1,WARA,WARA1,Producer,329.643219,4.385493755,1248.64856,250
02/12/2016,P1,1261.79248,1,WARA,WARA1,Producer,331.4091187,6.454892635,1255.337646,250
02/01/2017,P1,1282.894653,1,WARA,WARA1,Producer,336.0880127,9.83409214,1273.060669,250
02/02/2017,P1,1286.573364,1,WARA,WARA1,Producer,336.0052795,13.82600689,1272.747314,250
02/03/2017,P1,1271.327271,1,WARA,WARA1,Producer,330.8151245,18.239645,1253.087646,250
02/04/2017,P1,1301.273071,1,WARA,WARA1,Producer,336.8941956,25.15865517,1276.11438,250
02/05/2017,P1,1535.753174,1,WARA,WARA1,Producer,394.6486511,40.87182999,1494.881348,250
02/06/2017,P1,1453.523315,1,WARA,WARA1,Producer,370.3812256,50.56412125,1402.959229,250
02/07/2017,P1,1334.084595,1,WARA,WARA1,Producer,337.1478882,57.00921631,1277.075439,250
02/08/2017,P1,1207.974731,1,WARA,WARA1,Producer,302.4494934,62.3326149,1145.64209,250
02/09/2017,P1,1334.017212,1,WARA,WARA1,Producer,330.0829773,83.70291138,1250.314331,250
02/10/2017,P1,1309.227539,1,WARA,WARA1,Producer,319.9790649,97.18563843,1212.04187,250
02/11/2017,P1,1347.413696,1,WARA,WARA1,Producer,324.5825806,117.9341431,1229.479492,250
02/12/2017,P1,1399.920288,1,WARA,WARA1,Producer,331.857605,142.8838959,1257.036377,250
02/01/2018,P1,1172.716675,1,WARA,WARA1,Producer,273.7140808,135.9208984,1036.795776,250
02/02/2018,P1,1236.341309,1,WARA,WARA1,Producer,283.7756042,161.4337616,1074.907593,250
02/03/2018,P1,1207.961182,1,WARA,WARA1,Producer,273.1368408,173.3520203,1034.609253,250
02/04/2018,P1,1257.813477,1,WARA,WARA1,Producer,278.9970093,201.0066223,1056.806763,250
02/05/2018,P1,1304.36499,1,WARA,WARA1,Producer,283.4985657,230.5067444,1073.858276,250
02/06/2018,P1,1408.682983,1,WARA,WARA1,Producer,299.0794067,275.806366,1132.876587,250
02/07/2018,P1,1317.322144,1,WARA,WARA1,Producer,273.3431396,281.931488,1035.390625,250
02/08/2018,P1,1416.161011,1,WARA,WARA1,Producer,286.8194275,329.7237549,1086.437256,250
02/09/2018,P1,1366.976807,1,WARA,WARA1,Producer,270.087738,343.9171448,1023.059631,250
02/10/2018,P1,1426.19043,1,WARA,WARA1,Producer,275.0283508,384.4163818,1041.774048,250
02/11/2018,P1,1325.471191,1,WARA,WARA1,Producer,249.1210327,381.8309021,943.6402588,250
02/12/2018,P1,1438.268799,1,WARA,WARA1,Producer,263.5950012,439.8028259,998.4659424,250
02/01/2019,P1,1502.416504,1,WARA,WARA1,Producer,267.860199,487.7944641,1014.622009,250
02/02/2019,P1,1527.976807,1,WARA,WARA1,Producer,264.6390686,525.5560913,1002.420715,250
02/03/2019,P1,1726.226318,1,WARA,WARA1,Producer,290.0579529,627.5219116,1098.704468,250
02/04/2019,P1,1701.3927,1,WARA,WARA1,Producer,276.3146362,654.7463379,1046.646362,250
02/05/2019,P1,1671.848511,1,WARA,WARA1,Producer,262.8606262,676.1642456,995.6842041,250
02/06/2019,P1,1706.059326,1,WARA,WARA1,Producer,259.0613098,724.7664795,981.2929077,250
02/07/2019,P1,1672.840332,1,WARA,WARA1,Producer,245.5194092,742.8425903,929.9978027,250
02/08/2019,P1,1667.663818,1,WARA,WARA1,Producer,235.8775787,774.1881714,893.475647,250
02/09/2019,P1,1710.8125,1,WARA,WARA1,Producer,232.8540497,828.7896118,882.0228882,250
02/10/2019,P1,1741.085205,1,WARA,WARA1,Producer,228.1911469,876.7247314,864.3604126,250
02/11/2019,P1,1646.508301,1,WARA,WARA1,Producer,207.4254913,860.8056641,785.7026367,250
02/12/2019,P1,1638.37439,1,WARA,WARA1,Producer,198.0312653,888.2559204,750.1184692,250
02/01/2020,P1,1514.862305,1,WARA,WARA1,Producer,175.5483856,849.90625,664.9560547,250
02/02/2020,P1,1461.449463,1,WARA,WARA1,Producer,163.2151489,843.2102661,618.2391968,250
02/03/2020,P1,1622.508911,1,WARA,WARA1,Producer,173.20224,966.4397583,656.0690918,250
02/04/2020,P1,1647.672729,1,WARA,WARA1,Producer,167.543045,1013.039978,634.6327515,250
02/05/2020,P1,1709.126587,1,WARA,WARA1,Producer,165.2390442,1083.221069,625.9054565,250
02/06/2020,P1,1069.340942,1,WARA,WARA1,Producer,104.1581039,674.8026123,394.538269,250
02/07/2020,P1,1309.504883,1,WARA,WARA1,Producer,124.7838821,836.8386841,472.6661987,250
02/08/2020,P1,1274.554443,1,WARA,WARA1,Producer,117.7252121,828.6255493,445.928833,250
02/09/2020,P1,1018.219543,1,WARA,WARA1,Producer,97.48439789,648.9605103,369.2590942,250
02/10/2020,P1,1055.137695,1,WARA,WARA1,Producer,98.72016144,681.1977539,373.9400024,250
02/11/2020,P1,1329.540161,1,WARA,WARA1,Producer,121.0067368,871.1812744,458.3588562,250
02/12/2020,P1,1699.562988,1,WARA,WARA1,Producer,150.9441071,1127.805054,571.7579956,250
02/01/2021,P1,1656.566528,1,WARA,WARA1,Producer,143.0926971,1114.548828,542.0178223,250
02/02/2021,P1,1334.741211,1,WARA,WARA1,Producer,111.0240173,914.1956787,420.5455322,250
02/03/2021,P1,1279.039917,1,WARA,WARA1,Producer,103.7539139,886.0326538,393.0072632,250
02/04/2021,P1,1347.216675,1,WARA,WARA1,Producer,106.2606659,944.7141113,402.502533,250
02/05/2021,P1,1338.977295,1,WARA,WARA1,Producer,102.5625,950.4830322,388.4943237,250
02/06/2021,P1,1257.944214,1,WARA,WARA1,Producer,95.07485199,897.8121338,360.132019,250
02/07/2021,P1,1261.074341,1,WARA,WARA1,Producer,94.40879822,903.46521,357.6090698,250
02/08/2021,P1,1352.158203,1,WARA,WARA1,Producer,99.83940125,973.9786987,378.1795349,250
02/09/2021,P1,1460.61792,1,WARA,WARA1,Producer,105.7350388,1060.106445,400.5115356,250
02/10/2021,P1,1409.124146,1,WARA,WARA1,Producer,99.97577667,1030.428101,378.6961365,250
02/11/2021,P1,1356.953247,1,WARA,WARA1,Producer,94.48933411,999.0391235,357.9141541,250
02/12/2021,P1,1453.528687,1,WARA,WARA1,Producer,98.59081268,1080.078613,373.4500427,250
02/01/2022,P1,1536.770752,1,WARA,WARA1,Producer,101.0821609,1153.883789,382.8869629,250
02/02/2022,P1,1377.00293,1,WARA,WARA1,Producer,88.28783417,1042.579346,334.4236145,250
02/03/2022,P1,1128.300171,1,WARA,WARA1,Producer,71.4003067,857.8444824,270.455719,250
02/04/2022,P1,1071.841919,1,WARA,WARA1,Producer,66.90048981,818.4309692,253.4109497,250
02/05/2022,P1,1317.339844,1,WARA,WARA1,Producer,79.80103302,1015.063232,302.2766418,250
02/06/2022,P1,1416.152588,1,WARA,WARA1,Producer,82.90084839,1102.134277,314.0183716,250
02/07/2022,P1,1469.54187,1,WARA,WARA1,Producer,83.46339417,1153.3927,316.149231,250
02/08/2022,P1,1558.167114,1,WARA,WARA1,Producer,85.94585419,1232.614624,325.5524597,250
02/09/2022,P1,1607.502441,1,WARA,WARA1,Producer,85.86218262,1282.266968,325.2355347,250
02/10/2022,P1,1588.536377,1,WARA,WARA1,Producer,82.51670837,1275.973022,312.5632935,250
02/11/2022,P1,1447.387329,1,WARA,WARA1,Producer,73.55583954,1168.766724,278.6206055,250
02/12/2022,P1,1463.762085,1,WARA,WARA1,Producer,72.40799713,1189.48938,274.2727051,250
02/01/2023,P1,1506.145264,1,WARA,WARA1,Producer,72.42523956,1231.807251,274.3380432,250
02/02/2023,P1,1402.463623,1,WARA,WARA1,Producer,65.73300934,1153.474976,248.988678,250
02/03/2023,P1,1371.56543,1,WARA,WARA1,Producer,63.10570908,1132.528687,239.0367889,250
02/04/2023,P1,1474.92334,1,WARA,WARA1,Producer,66.38717651,1223.456787,251.466568,250
02/05/2023,P1,1477.276733,1,WARA,WARA1,Producer,64.72440338,1232.108521,245.1681824,250
02/06/2023,P1,1536.54834,1,WARA,WARA1,Producer,65.87234497,1287.03186,249.516449,250
02/07/2023,P1,1575.215942,1,WARA,WARA1,Producer,65.91953278,1325.520752,249.6952057,250
02/08/2023,P1,1564.689331,1,WARA,WARA1,Producer,63.88792038,1322.689575,241.9997101,250
